Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10,"6,790,265.499 us","137,874.075 us","35,812.2781 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10,"3,597,511.470 us","77,513.165 us","20,133.7562 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10,6.089 us,3.845 us,0.9988 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,100,"6,691,367.444 us","45,601.507 us","11,844.8218 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,100,"3,519,684.506 us","40,270.104 us","10,460.0097 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,100,47.713 us,34.970 us,9.0832 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,1000,"6,823,480.372 us","35,951.189 us","9,338.1875 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,1000,"3,879,690.967 us","23,727.822 us","6,163.2136 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,1000,406.731 us,193.583 us,50.2825 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10000,"13,114,721.867 us","235,439.008 us","61,154.4063 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10000,"19,218,274.965 us","185,305.870 us","48,132.5104 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,10,10000,"4,807.689 us",418.270 us,108.6440 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,100,"6,634,224.435 us","34,167.646 us","8,874.9190 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,100,"3,710,104.284 us","182,579.421 us","47,424.3254 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,100,68.307 us,96.383 us,25.0352 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,1000,"6,864,624.274 us","39,505.019 us","10,261.2818 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,1000,"3,905,767.075 us","59,559.785 us","15,470.4326 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,1000,380.647 us,82.726 us,21.4878 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10000,"12,808,168.633 us","139,192.609 us","36,154.7623 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10000,"19,565,692.458 us","296,587.629 us","77,037.5332 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,100,10000,"4,954.469 us","2,863.230 us",743.7134 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,100,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,100,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,100,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,1000,"7,297,364.527 us","116,308.888 us","30,210.8009 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,1000,"4,382,528.924 us","88,863.701 us","23,082.0158 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,1000,578.679 us,262.603 us,68.2101 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10000,"13,196,268.122 us","117,637.897 us","30,556.0061 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10000,"18,428,755.379 us","247,647.527 us","64,325.5237 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10000,1000,10000,"5,277.653 us",622.464 us,161.6826 us
