date.0000000,achieve_incident_resolved
2017-07-20 23:00:00.0000000,0.842795233
2017-07-20 23:00:10.0000000,0.843154786
2017-07-20 23:00:20.0000000,0.843246513
2017-07-20 23:00:30.0000000,0.843429967
2017-07-20 23:00:40.0000000,0.843704113
2017-07-20 23:00:50.0000000,0.843973165
2017-07-20 23:01:00.0000000,0.844427833
2017-07-20 23:01:10.0000000,0.844702154
2017-07-20 23:01:20.0000000,0.844976515
2017-07-20 23:01:30.0000000,0.845245824
2017-07-20 23:01:40.0000000,0.845428448
2017-07-20 23:01:50.0000000,0.845702925
2017-07-20 23:02:00.0000000,0.846244929
2017-07-20 23:02:10.0000000,0.846336803
2017-07-20 23:02:20.0000000,0.846611436
2017-07-20 23:02:30.0000000,0.846886109
2017-07-20 23:02:40.0000000,0.847154793
2017-07-20 23:02:50.0000000,0.847429563
2017-07-20 23:03:00.0000000,0.847613407
2017-07-20 23:03:10.0000000,0.848160205
2017-07-20 23:03:20.0000000,0.848521147
2017-07-20 23:03:30.0000000,0.848796152
2017-07-20 23:03:40.0000000,0.848979186
2017-07-20 23:03:50.0000000,0.84925426
2017-07-20 23:04:00.0000000,0.84952344
2017-07-20 23:04:10.0000000,0.849707519
2017-07-20 23:04:20.0000000,0.84998271
2017-07-20 23:04:30.0000000,0.850074759
2017-07-20 23:04:40.0000000,0.85034503
2017-07-20 23:04:50.0000000,0.850528249
2017-07-20 23:05:00.0000000,0.850803566
2017-07-20 23:05:10.0000000,0.851078923
2017-07-20 23:05:20.0000000,0.851622143
2017-07-20 23:05:30.0000000,0.851806417
2017-07-20 23:05:40.0000000,0.851989803
2017-07-20 23:05:50.0000000,0.852265365
2017-07-20 23:06:00.0000000,0.852535177
2017-07-20 23:06:10.0000000,0.852810836
2017-07-20 23:06:20.0000000,0.852994339
2017-07-20 23:06:30.0000000,0.853086535
2017-07-20 23:06:40.0000000,0.853356518
2017-07-20 23:06:50.0000000,0.853448733
2017-07-20 23:07:00.0000000,0.852170458
2017-07-20 23:07:10.0000000,0.849612625
2017-07-20 23:07:20.0000000,0.847322822
2017-07-20 23:07:30.0000000,0.8446722
2017-07-20 23:07:40.0000000,0.842203342
2017-07-20 23:07:50.0000000,0.839642683
2017-07-20 23:08:00.0000000,0.84083067
2017-07-20 23:08:10.0000000,0.841098089
2017-07-20 23:08:20.0000000,0.841280354
2017-07-20 23:08:30.0000000,0.841462639
2017-07-20 23:08:40.0000000,0.841644944
2017-07-20 23:08:50.0000000,0.841918772
2017-07-20 23:09:00.0000000,0.842191977
2017-07-20 23:09:10.0000000,0.842374361
2017-07-20 23:09:20.0000000,0.842647636
2017-07-20 23:09:30.0000000,0.842830069
2017-07-20 23:09:40.0000000,0.843012522
2017-07-20 23:09:50.0000000,0.843285896
2017-07-20 23:10:00.0000000,0.84356
2017-07-20 23:10:10.0000000,0.843833462
2017-07-20 23:10:20.0000000,0.844016024
2017-07-20 23:10:30.0000000,0.844198605
2017-07-20 23:10:40.0000000,0.844472167
2017-07-20 23:10:50.0000000,0.844654797
2017-07-20 23:11:00.0000000,0.845020118
2017-07-20 23:11:10.0000000,0.845202808
2017-07-20 23:11:20.0000000,0.845385518
2017-07-20 23:11:30.0000000,0.845567536
2017-07-20 23:11:40.0000000,0.845750286
2017-07-20 23:11:50.0000000,0.845933055
2017-07-20 23:12:00.0000000,0.846206882
2017-07-20 23:12:10.0000000,0.846389701
2017-07-20 23:12:20.0000000,0.846572539
2017-07-20 23:12:30.0000000,0.846572539
2017-07-20 23:12:40.0000000,0.846664328
2017-07-20 23:12:50.0000000,0.846755396
2017-07-20 23:13:00.0000000,0.846755396
2017-07-20 23:13:10.0000000,0.846938274
2017-07-20 23:13:20.0000000,0.847299512
2017-07-20 23:13:30.0000000,0.847299512
2017-07-20 23:13:40.0000000,0.847482458
2017-07-20 23:13:50.0000000,0.847574286
2017-07-20 23:14:00.0000000,0.848118661
2017-07-20 23:14:10.0000000,0.848301704
2017-07-20 23:14:20.0000000,0.848392899
2017-07-20 23:14:30.0000000,0.848575972
2017-07-20 23:14:40.0000000,0.848759064
2017-07-20 23:14:50.0000000,0.848936239
2017-07-20 23:15:00.0000000,0.849303212
2017-07-20 23:15:10.0000000,0.849394466
2017-07-20 23:15:20.0000000,0.849486392
2017-07-20 23:15:30.0000000,0.849755625
2017-07-20 23:15:40.0000000,0.849938863
2017-07-20 23:15:50.0000000,0.850030157
2017-07-20 23:16:00.0000000,0.850489348
2017-07-20 23:16:10.0000000,0.850580681
2017-07-20 23:16:20.0000000,0.850850144
2017-07-20 23:16:30.0000000,0.851033509
2017-07-20 23:16:40.0000000,0.851216894
2017-07-20 23:16:50.0000000,0.851308917
2017-07-20 23:17:00.0000000,0.851768432
2017-07-20 23:17:10.0000000,0.851946091
2017-07-20 23:17:20.0000000,0.852129584
2017-07-20 23:17:30.0000000,0.852313096
2017-07-20 23:17:40.0000000,0.852404546
2017-07-20 23:17:50.0000000,0.852674391
2017-07-20 23:18:00.0000000,0.852857971
2017-07-20 23:18:10.0000000,0.853225813
2017-07-20 23:18:20.0000000,0.853317322
2017-07-20 23:18:30.0000000,0.853500971
2017-07-20 23:18:40.0000000,0.853771046
2017-07-20 23:18:50.0000000,0.853954754
2017-07-20 23:19:00.0000000,0.854322228
2017-07-20 23:19:10.0000000,0.854505995
2017-07-20 23:19:20.0000000,0.854689781
2017-07-20 23:19:30.0000000,0.855051711
2017-07-20 23:19:40.0000000,0.855235565
2017-07-20 23:19:50.0000000,0.85541944
2017-07-20 23:20:00.0000000,0.855511698
2017-07-20 23:20:10.0000000,0.855695602
2017-07-20 23:20:20.0000000,0.855874471
2017-07-20 23:20:30.0000000,0.855966749
2017-07-20 23:20:40.0000000,0.856150711
2017-07-20 23:20:50.0000000,0.856242998
2017-07-20 23:21:00.0000000,0.856334693
2017-07-20 23:21:10.0000000,0.856513647
2017-07-20 23:21:20.0000000,0.856697677
2017-07-20 23:21:30.0000000,0.856881727
2017-07-20 23:21:40.0000000,0.857065796
2017-07-20 23:21:50.0000000,0.857341639
2017-07-20 23:22:00.0000000,0.857525758
2017-07-20 23:22:10.0000000,0.85770429
2017-07-20 23:22:20.0000000,0.857888457
2017-07-20 23:22:30.0000000,0.858072644
2017-07-20 23:22:40.0000000,0.858256851
2017-07-20 23:22:50.0000000,0.85853289
2017-07-20 23:23:00.0000000,0.858896471
2017-07-20 23:23:10.0000000,0.859080776
2017-07-20 23:23:20.0000000,0.8592651
2017-07-20 23:23:30.0000000,0.859449444
2017-07-20 23:23:40.0000000,0.859633808
2017-07-20 23:23:50.0000000,0.859905165
2017-07-20 23:24:00.0000000,0.859997065
2017-07-20 23:24:10.0000000,0.860273407
2017-07-20 23:24:20.0000000,0.860457868
2017-07-20 23:24:30.0000000,0.860549788
2017-07-20 23:24:40.0000000,0.860734279
2017-07-20 23:24:50.0000000,0.860913275
2017-07-20 23:25:00.0000000,0.861097815
2017-07-20 23:25:10.0000000,0.860078431
2017-07-20 23:25:20.0000000,0.85905881
2017-07-20 23:25:30.0000000,0.858038952
2017-07-20 23:25:40.0000000,0.857105529
2017-07-20 23:25:50.0000000,0.856085093
2017-07-20 23:26:00.0000000,0.856360502
2017-07-20 23:26:10.0000000,0.85571036
2017-07-20 23:26:20.0000000,0.854689261
2017-07-20 23:26:30.0000000,0.853667925
2017-07-20 23:26:40.0000000,0.852825302
2017-07-20 23:26:50.0000000,0.851803398
2017-07-20 23:27:00.0000000,0.851986986
2017-07-20 23:27:10.0000000,0.852170594
2017-07-20 23:27:20.0000000,0.851241003
2017-07-20 23:27:30.0000000,0.850218417
2017-07-20 23:27:40.0000000,0.849374254
2017-07-20 23:27:50.0000000,0.848443907
