Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev,Median
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,1000,1000,327.875 us,1.2697 us,1.1877 us,327.826 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,1000,10000,"3,389,290.814 us","5,850.1527 us","5,186.0075 us","3,390,315.584 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,1000,10000,"12,598,945.587 us","24,899.5303 us","23,291.0339 us","12,600,053.057 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1000,1000,10000,"3,296.950 us",10.9260 us,9.1237 us,"3,296.058 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10,"3,609,062.268 us","4,774.5465 us","4,232.5107 us","3,608,152.713 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10,"1,864,941.237 us","1,274.7668 us","1,192.4176 us","1,865,387.735 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10,3.153 us,0.0091 us,0.0085 us,3.155 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,100,"3,679,509.991 us","2,829.1141 us","2,507.9357 us","3,679,746.037 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,100,"1,975,363.342 us","2,731.0832 us","2,554.6567 us","1,975,382.455 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,100,28.629 us,0.1995 us,0.1867 us,28.683 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,1000,"3,731,868.689 us","7,629.5180 us","6,763.3683 us","3,731,132.723 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,1000,"2,180,785.088 us","14,344.7174 us","13,418.0562 us","2,187,720.627 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,1000,301.108 us,0.8453 us,0.7907 us,301.220 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10000,"7,215,003.039 us","72,551.9190 us","64,315.3802 us","7,214,528.359 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10000,"20,229,255.707 us","255,734.7431 us","239,214.4141 us","20,218,840.735 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,10,10000,"3,339.219 us",23.7865 us,22.2500 us,"3,333.397 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,100,"3,623,683.237 us","3,567.7276 us","3,162.6973 us","3,623,836.775 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,100,"1,915,807.591 us","6,434.2819 us","6,018.6307 us","1,917,135.994 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,100,31.023 us,0.2012 us,0.1882 us,30.940 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,1000,"3,741,218.638 us","17,522.8907 us","15,533.5846 us","3,735,573.164 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,1000,"2,220,074.218 us","7,642.2071 us","7,148.5245 us","2,218,669.293 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,1000,299.015 us,1.3250 us,1.2394 us,298.908 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10000,"7,115,856.873 us","4,666.4053 us","3,896.6594 us","7,115,384.644 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10000,"19,935,896.284 us","1,493,952.4153 us","2,536,844.5815 us","18,521,126.264 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,100,10000,"3,358.277 us",28.2321 us,26.4083 us,"3,354.441 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,100,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,100,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,100,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,1000,"3,755,905.499 us","2,400.2852 us","2,127.7901 us","3,755,412.135 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,1000,"2,271,469.240 us","11,843.1527 us","11,078.0913 us","2,272,975.150 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,1000,381.122 us,1.9688 us,1.8417 us,380.829 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10000,"7,086,544.938 us","1,506.2710 us","1,257.8044 us","7,086,599.387 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10000,"19,011,522.625 us","18,071.8057 us","11,953.3810 us","19,005,804.993 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10000,1000,10000,"3,453.634 us",25.7752 us,24.1101 us,"3,451.066 us"
