Probability;Severity;Risks
0.0004176;0.69722;o_compromised_system,o_critical_battery,o_blackspot;3
0.0002448;0.81506;o_compromised_system,o_critical_battery,o_phonenr_not_working;3
0.0002304;0.82488;o_compromised_system,o_critical_battery,o_no_credit;3
0.0002304;0.82488;o_compromised_system,o_critical_battery,o_unresponsive;3
0.0002736;0.79542;o_compromised_system,o_critical_battery,o_gsm_out_of_service;3
0.0000144;0.97218;o_compromised_system,o_critical_battery,o_operator_in_blackspot;3
0.0008874;0.5786926;o_compromised_system,o_blackspot,o_phonenr_not_working;3
0.0008352;0.5856648;o_compromised_system,o_blackspot,o_no_credit;3
0.0008352;0.5856648;o_compromised_system,o_blackspot,o_unresponsive;3
0.0009918;0.5647482;o_compromised_system,o_blackspot,o_gsm_out_of_service;3
0.0000522;0.6902478;o_compromised_system,o_blackspot,o_operator_in_blackspot;3
0.0004896;0.6846504;o_compromised_system,o_phonenr_not_working,o_no_credit;3
0.0004896;0.6846504;o_compromised_system,o_phonenr_not_working,o_unresponsive;3
0.0005814;0.6601986;o_compromised_system,o_phonenr_not_working,o_gsm_out_of_service;3
0.0000306;0.8069094;o_compromised_system,o_phonenr_not_working,o_operator_in_blackspot;3
0.0004608;0.6928992;o_compromised_system,o_no_credit,o_unresponsive;3
0.0005472;0.6681528;o_compromised_system,o_no_credit,o_gsm_out_of_service;3
0.0000288;0.8166312;o_compromised_system,o_no_credit,o_operator_in_blackspot;3
0.0005472;0.6681528;o_compromised_system,o_unresponsive,o_gsm_out_of_service;3
0.0000288;0.8166312;o_compromised_system,o_unresponsive,o_operator_in_blackspot;3
0.0000342;0.7874658;o_compromised_system,o_gsm_out_of_service,o_operator_in_blackspot;3
0.000696;0.708296;o_power_outage,o_critical_battery,o_blackspot;3
0.000408;0.828008;o_power_outage,o_critical_battery,o_phonenr_not_working;3
0.000384;0.837984;o_power_outage,o_critical_battery,o_no_credit;3
0.000384;0.837984;o_power_outage,o_critical_battery,o_unresponsive;3
0.000456;0.808056;o_power_outage,o_critical_battery,o_gsm_out_of_service;3
0.000024;0.987624;o_power_outage,o_critical_battery,o_operator_in_blackspot;3
0.001479;0.5893;o_power_outage,o_blackspot,o_phonenr_not_working;3
0.001392;0.5964;o_power_outage,o_blackspot,o_no_credit;3
0.001392;0.5964;o_power_outage,o_blackspot,o_unresponsive;3
0.001653;0.5751;o_power_outage,o_blackspot,o_gsm_out_of_service;3
