Probability;Severity;Risks
0.0001755;0.50505;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage;4
0.000468;0.50505;o_relay_broken,o_pump_leak,o_empty_reserve,o_critical_battery;4
0.0000702;0.4989894;o_relay_broken,o_pump_leak,o_empty_reserve,o_faulty_code;4
0.0001053;0.4959591;o_relay_broken,o_pump_leak,o_empty_reserve,o_compromised_system;4
0.000156;0.553668;o_relay_broken,o_pump_leak,o_power_outage,o_critical_battery;4
0.0000234;0.54834;o_relay_broken,o_pump_leak,o_power_outage,o_faulty_code;4
0.0000351;0.54501;o_relay_broken,o_pump_leak,o_power_outage,o_compromised_system;4
0.0000624;0.54834;o_relay_broken,o_pump_leak,o_critical_battery,o_faulty_code;4
0.0000936;0.54501;o_relay_broken,o_pump_leak,o_critical_battery,o_compromised_system;4
0.000014;0.5384699;o_relay_broken,o_pump_leak,o_faulty_code,o_compromised_system;4
0.0000945;0.58695;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage;4
0.000252;0.58695;o_relay_broken,o_pump_broken,o_empty_reserve,o_critical_battery;4
0.0000378;0.5799066;o_relay_broken,o_pump_broken,o_empty_reserve,o_faulty_code;4
0.0000567;0.5763849;o_relay_broken,o_pump_broken,o_empty_reserve,o_compromised_system;4
0.000084;0.643452;o_relay_broken,o_pump_broken,o_power_outage,o_critical_battery;4
0.0000126;0.63726;o_relay_broken,o_pump_broken,o_power_outage,o_faulty_code;4
0.0000189;0.63339;o_relay_broken,o_pump_broken,o_power_outage,o_compromised_system;4
0.0000336;0.63726;o_relay_broken,o_pump_broken,o_critical_battery,o_faulty_code;4
0.0000504;0.63339;o_relay_broken,o_pump_broken,o_critical_battery,o_compromised_system;4
0.0000076;0.6257893;o_relay_broken,o_pump_broken,o_faulty_code,o_compromised_system;4
0.000054;0.680862;o_relay_broken,o_empty_reserve,o_power_outage,o_critical_battery;4
0.0000081;0.67431;o_relay_broken,o_empty_reserve,o_power_outage,o_faulty_code;4
0.0000122;0.670215;o_relay_broken,o_empty_reserve,o_power_outage,o_compromised_system;4
0.0000216;0.67431;o_relay_broken,o_empty_reserve,o_critical_battery,o_faulty_code;4
0.0000324;0.670215;o_relay_broken,o_empty_reserve,o_critical_battery,o_compromised_system;4
0.0000049;0.6621724;o_relay_broken,o_empty_reserve,o_faulty_code,o_compromised_system;4
0.0000072;0.7392216;o_relay_broken,o_power_outage,o_critical_battery,o_faulty_code;4
0.0000108;0.7347324;o_relay_broken,o_power_outage,o_critical_battery,o_compromised_system;4
0.0000016;0.727662;o_relay_broken,o_power_outage,o_faulty_code,o_compromised_system;4
0.0000043;0.727662;o_relay_broken,o_critical_battery,o_faulty_code,o_compromised_system;4
0.0000983;0.579124;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage;4
0.0002621;0.579124;o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery;4
0.0000393;0.5721745;o_pump_leak,o_pump_broken,o_empty_reserve,o_faulty_code;4
0.000059;0.5686998;o_pump_leak,o_pump_broken,o_empty_reserve,o_compromised_system;4
0.0000874;0.6348726;o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery;4
0.0000131;0.6287632;o_pump_leak,o_pump_broken,o_power_outage,o_faulty_code;4
0.0000197;0.6249448;o_pump_leak,o_pump_broken,o_power_outage,o_compromised_system;4
0.0000349;0.6287632;o_pump_leak,o_pump_broken,o_critical_battery,o_faulty_code;4
0.0000524;0.6249448;o_pump_leak,o_pump_broken,o_critical_battery,o_compromised_system;4
0.0000079;0.6174455;o_pump_leak,o_pump_broken,o_faulty_code,o_compromised_system;4
0.0000562;0.6717838;o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery;4
0.0000084;0.6653192;o_pump_leak,o_empty_reserve,o_power_outage,o_faulty_code;4
0.0000126;0.6612788;o_pump_leak,o_empty_reserve,o_power_outage,o_compromised_system;4
0.0000225;0.6653192;o_pump_leak,o_empty_reserve,o_critical_battery,o_faulty_code;4
0.0000337;0.6612788;o_pump_leak,o_empty_reserve,o_critical_battery,o_compromised_system;4
0.0000051;0.6533435;o_pump_leak,o_empty_reserve,o_faulty_code,o_compromised_system;4
0.0000075;0.7293653;o_pump_leak,o_power_outage,o_critical_battery,o_faulty_code;4
0.0000112;0.724936;o_pump_leak,o_power_outage,o_critical_battery,o_compromised_system;4
0.0000017;0.7179598;o_pump_leak,o_power_outage,o_faulty_code,o_compromised_system;4
0.0000045;0.7179598;o_pump_leak,o_critical_battery,o_faulty_code,o_compromised_system;4
0.0000302;0.7807218;o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery;4
0.0000045;0.7732088;o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code;4
0.0000068;0.7685132;o_pump_broken,o_empty_reserve,o_power_outage,o_compromised_system;4
0.0000121;0.7732088;o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code;4
0.0000181;0.7685132;o_pump_broken,o_empty_reserve,o_critical_battery,o_compromised_system;4
0.0000027;0.759291;o_pump_broken,o_empty_reserve,o_faulty_code,o_compromised_system;4
0.000004;0.8476408;o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code;4
0.000006;0.8424932;o_pump_broken,o_power_outage,o_critical_battery,o_compromised_system;4
0.0000009;0.8343858;o_pump_broken,o_power_outage,o_faulty_code,o_compromised_system;4
0.0000024;0.8343858;o_pump_broken,o_critical_battery,o_faulty_code,o_compromised_system;4
0.0000026;0.8969222;o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;4
0.0000039;0.8914753;o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;4
0.0000006;0.8828966;o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;4
0.0000016;0.8828966;o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;4
0.0000005;0.9678875;o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;4
0.0000246;0.434343;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage;5
0.0000655;0.434343;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery;5
0.0000098;0.4291309;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_faulty_code;5
0.0000147;0.4265248;o_relay_broken,o_pump_leak,o_pump_broken,o_empty_reserve,o_compromised_system;5
0.0000218;0.4761545;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery;5
0.0000033;0.4715724;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_faulty_code;5
0.0000049;0.4687086;o_relay_broken,o_pump_leak,o_pump_broken,o_power_outage,o_compromised_system;5
0.0000087;0.4715724;o_relay_broken,o_pump_leak,o_pump_broken,o_critical_battery,o_faulty_code;5
0.0000131;0.4687086;o_relay_broken,o_pump_leak,o_pump_broken,o_critical_battery,o_compromised_system;5
0.000002;0.4630841;o_relay_broken,o_pump_leak,o_pump_broken,o_faulty_code,o_compromised_system;5
0.000014;0.5038379;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_critical_battery;5
0.0000021;0.4989894;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_faulty_code;5
0.0000032;0.4959591;o_relay_broken,o_pump_leak,o_empty_reserve,o_power_outage,o_compromised_system;5
0.0000056;0.4989894;o_relay_broken,o_pump_leak,o_empty_reserve,o_critical_battery,o_faulty_code;5
0.0000084;0.4959591;o_relay_broken,o_pump_leak,o_empty_reserve,o_critical_battery,o_compromised_system;5
0.0000013;0.4900076;o_relay_broken,o_pump_leak,o_empty_reserve,o_faulty_code,o_compromised_system;5
0.0000019;0.547024;o_relay_broken,o_pump_leak,o_power_outage,o_critical_battery,o_faulty_code;5
0.0000028;0.543702;o_relay_broken,o_pump_leak,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000004;0.5384699;o_relay_broken,o_pump_leak,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000011;0.5384699;o_relay_broken,o_pump_leak,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000076;0.5855413;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery;5
0.0000011;0.5799066;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code;5
0.0000017;0.5763849;o_relay_broken,o_pump_broken,o_empty_reserve,o_power_outage,o_compromised_system;5
0.000003;0.5799066;o_relay_broken,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code;5
0.0000045;0.5763849;o_relay_broken,o_pump_broken,o_empty_reserve,o_critical_battery,o_compromised_system;5
0.0000007;0.5694683;o_relay_broken,o_pump_broken,o_empty_reserve,o_faulty_code,o_compromised_system;5
0.000001;0.6357306;o_relay_broken,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code;5
0.0000015;0.6318699;o_relay_broken,o_pump_broken,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000002;0.6257893;o_relay_broken,o_pump_broken,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000006;0.6257893;o_relay_broken,o_pump_broken,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000006;0.6726917;o_relay_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_faulty_code;5
0.000001;0.6686065;o_relay_broken,o_empty_reserve,o_power_outage,o_critical_battery,o_compromised_system;5
0.0000001;0.6621724;o_relay_broken,o_empty_reserve,o_power_outage,o_faulty_code,o_compromised_system;5
0.0000004;0.6621724;o_relay_broken,o_empty_reserve,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000001;0.7259156;o_relay_broken,o_power_outage,o_critical_battery,o_faulty_code,o_compromised_system;5
0.0000079;0.5777341;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_critical_battery;5
0.0000012;0.5721745;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_faulty_code;5
0.0000018;0.5686998;o_pump_leak,o_pump_broken,o_empty_reserve,o_power_outage,o_compromised_system;5
0.0000031;0.5721745;o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_faulty_code;5
0.0000047;0.5686998;o_pump_leak,o_pump_broken,o_empty_reserve,o_critical_battery,o_compromised_system;5
0.0000007;0.5618754;o_pump_leak,o_pump_broken,o_empty_reserve,o_faulty_code,o_compromised_system;5
0.000001;0.6272542;o_pump_leak,o_pump_broken,o_power_outage,o_critical_battery,o_faulty_code;5
